S/Ns,Pig Run,Contractor,Date Launched,Time Launched,Launch Pressure (bar),Pressure After Launch (bar),Pig Type,Date Recovered,Time Recovered,Recovery Pressure (bar),Pressure After Recovery (bar),Pig Condition,Debris QTY (kg),Debris Type,Dimensions,Line
1,1,DSV,04/01/2023,1845hrs,17.3,23.8,BIDI+Brushes,04/03/2023,1815hrs,17.5,17.5,OK,1064,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
2,2,DSV,01/10/2023,1128hrs,16.9,17.4,BIDI+Brushes,01/13/2023,2038hrs,19.8,19.8,OK,1965,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
3,3,DSV,10/19/2023,1533hrs,24.2,24.4,BIDI Without Brushes,10/21/2023,1414hrs,24.9,24.9,OK,1946,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
4,4,DSV,04/01/2023,2255hrs,18.9,22.2,BIDI+Brushes,04/03/2023,0054hrs,19.6,19.6,Worn,1291,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
5,5,DSV,03/28/2023,2351hrs,22.0,23.4,BIDI Without Brushes,03/30/2023,1553hrs,22.8,22.8,OK,1511,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
6,6,DSV,06/06/2023,2045hrs,24.8,25.0,BIDI Without Brushes,06/09/2023,1521hrs,24.8,24.8,Worn,2149,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
7,7,DSV,03/26/2023,0020hrs,22.7,23.5,BIDI+Brushes,03/28/2023,0022hrs,23.7,23.7,Worn,1009,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
8,8,DSV,02/05/2023,2128hrs,22.9,24.9,BIDI Without Brushes,02/07/2023,0148hrs,23.9,23.9,OK,556,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
9,9,DSV,11/02/2023,1656hrs,20.2,22.4,BIDI+Brushes,11/04/2023,0125hrs,20.2,20.2,Moderate,725,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
10,10,DSV,07/08/2023,0213hrs,22.8,23.6,BIDI+Brushes,07/12/2023,1102hrs,23.4,23.4,Worn,2242,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
