S/Ns,Pig Run,Contractor,Date Launched,Time Launched,Launch Pressure (bar),Pressure After Launch (bar),Pig Type,Date Recovered,Time Recovered,Recovery Pressure (bar),Pressure After Recovery (bar),Pig Condition,Debris QTY (kg),Debris Type,Dimensions,Line
1,1,DSV,08/06/2022,1255hrs,19.9,24.6,BIDI+Brushes,08/08/2022,1111hrs,23.5,23.5,Worn,2983,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
2,2,DSV,04/24/2022,1257hrs,17.6,21.7,BIDI+Brushes,04/29/2022,0317hrs,21.5,21.5,Worn,2262,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
3,3,DSV,07/20/2022,1405hrs,22.6,24.2,BIDI Without Brushes,07/22/2022,0542hrs,24.0,24.0,OK,2091,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
4,4,DSV,08/20/2022,1916hrs,19.3,24.7,BIDI Without Brushes,08/24/2022,1839hrs,21.0,21.0,Moderate,1988,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
5,5,DSV,01/09/2022,2216hrs,19.2,20.2,BIDI+Brushes,01/13/2022,0933hrs,20.3,20.3,Moderate,541,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
6,6,DSV,09/22/2022,2312hrs,18.0,19.2,BIDI Without Brushes,09/27/2022,1524hrs,19.3,19.3,OK,635,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
7,7,DSV,03/11/2022,0741hrs,21.0,21.6,BIDI Without Brushes,03/13/2022,0722hrs,22.9,22.9,Worn,2247,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
8,8,DSV,01/26/2022,1119hrs,21.1,23.2,BIDI Without Brushes,01/29/2022,0947hrs,21.3,21.3,OK,524,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
9,9,DSV,11/16/2022,2017hrs,24.1,24.2,BIDI Without Brushes,11/20/2022,0228hrs,24.1,24.1,Worn,1049,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
10,10,DSV,06/01/2022,0820hrs,17.3,23.4,BIDI+Brushes,06/06/2022,1903hrs,18.2,18.2,Worn,1564,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
1,1,DSV,02/06/2022,1742hrs,20.1,20.4,BIDI Without Brushes,02/08/2022,1207hrs,24.1,24.1,Moderate,890,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
2,2,DSV,06/28/2022,0551hrs,24.1,24.4,BIDI Without Brushes,07/02/2022,1217hrs,24.3,24.3,OK,1557,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
3,3,DSV,01/03/2022,0432hrs,24.5,24.9,BIDI Without Brushes,01/08/2022,2117hrs,24.8,24.8,Moderate,910,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
4,4,DSV,02/24/2022,1127hrs,22.5,23.4,BIDI Without Brushes,02/27/2022,0626hrs,23.2,23.2,OK,2931,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
5,5,DSV,10/25/2022,0748hrs,16.2,19.7,BIDI+Brushes,10/29/2022,0512hrs,16.8,16.8,Worn,1374,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
6,6,DSV,08/27/2022,0815hrs,17.2,20.0,BIDI+Brushes,08/29/2022,0052hrs,18.2,18.2,OK,2802,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
7,7,DSV,08/25/2022,0746hrs,21.8,24.9,BIDI+Brushes,08/29/2022,0505hrs,24.2,24.2,Worn,1860,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
