S/Ns,Pig Run,Contractor,Date Launched,Time Launched,Launch Pressure (bar),Pressure After Launch (bar),Pig Type,Date Recovered,Time Recovered,Recovery Pressure (bar),Pressure After Recovery (bar),Pig Condition,Debris QTY (kg),Debris Type,Dimensions,Line
1,1,DSV,10/27/2021,1635hrs,24.2,24.3,BIDI+Brushes,10/31/2021,2238hrs,24.7,24.7,OK,761,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
2,2,DSV,08/01/2021,2156hrs,17.9,23.0,BIDI+Brushes,08/03/2021,2231hrs,25.0,25.0,OK,1300,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
3,3,DSV,11/20/2021,0718hrs,21.1,21.5,BIDI+Brushes,11/23/2021,1721hrs,22.1,22.1,Moderate,2133,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
4,4,DSV,07/03/2021,2028hrs,19.1,21.1,BIDI+Brushes,07/08/2021,0619hrs,19.1,19.1,Worn,2171,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
5,5,DSV,11/23/2021,1806hrs,19.6,24.7,BIDI+Brushes,11/26/2021,1131hrs,21.2,21.2,Moderate,1433,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
6,6,DSV,10/18/2021,2125hrs,24.8,24.9,BIDI Without Brushes,10/21/2021,1407hrs,25.0,25.0,Worn,1431,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
7,7,DSV,03/17/2021,2111hrs,17.3,21.8,BIDI Without Brushes,03/21/2021,0140hrs,20.5,20.5,Moderate,574,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
8,8,DSV,02/26/2021,1644hrs,21.1,22.0,BIDI Without Brushes,03/01/2021,1509hrs,22.8,22.8,Worn,2789,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
9,9,DSV,08/18/2021,1510hrs,21.3,21.8,BIDI+Brushes,08/20/2021,0357hrs,24.6,24.6,Moderate,937,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
10,10,DSV,06/13/2021,1656hrs,23.6,24.9,BIDI Without Brushes,06/16/2021,0853hrs,24.5,24.5,OK,927,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Rumuekpe-Nkpoku Manifold
